Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
West Coast Conference,2015-2016,10,170,152,0.528,2.04,1.59,0,1,0,Gonzaga Saint Mary's (CA),Gonzaga
Southeastern Conference,2015-2016,14,263,204,0.563,10.33,7.50,0,3,0,Kentucky Texas A&M,Kentucky
Atlantic 10 Conference,2015-2016,14,260,203,0.562,4.96,3.51,0,3,0,Dayton St. Bonaventure Virginia Commonwealth,Saint Joseph's
Mid-American Conference,2015-2016,12,224,179,0.556,-0.40,-0.97,0,1,0,Akron (East) Ball State (West) Central Michigan (West),Buffalo
Big Ten Conference,2015-2016,14,279,196,0.587,10.93,7.12,0,7,0,Indiana,Michigan State
Conference USA,2015-2016,14,225,237,0.487,-4.13,-2.70,0,1,0,UAB,Middle Tennessee
Southern Conference,2015-2016,10,170,165,0.507,-5.38,-3.40,0,1,0,Chattanooga,Chattanooga
Western Athletic Conference,2015-2016,8,125,131,0.488,-6.66,-3.85,0,1,0,New Mexico State,Cal State Bakersfield
Colonial Athletic Association,2015-2016,10,174,146,0.544,1.22,0.61,0,1,0,Hofstra UNC Wilmington,UNC Wilmington
America East Conference,2015-2016,9,137,153,0.472,-8.83,-6.24,0,1,0,Stony Brook,Stony Brook
American Athletic Conference,2015-2016,11,198,161,0.552,7.57,4.49,0,4,0,Temple,Connecticut
Atlantic Sun Conference,2015-2016,8,124,142,0.466,-7.21,-4.07,0,1,0,North Florida,Florida Gulf Coast
Atlantic Coast Conference,2015-2016,15,317,200,0.613,13.96,9.24,0,7,2,North Carolina,North Carolina
Summit League,2015-2016,9,155,131,0.542,-2.15,-1.41,0,1,0,Purdue Fort Wayne South Dakota State,South Dakota State
Big West Conference,2015-2016,9,150,143,0.512,-0.72,0.08,0,1,0,Hawaii UC Irvine,Hawaii
Big Sky Conference,2015-2016,12,181,203,0.471,-7.94,-5.05,0,1,0,Weber State,Weber State
Mountain West Conference,2015-2016,11,203,165,0.552,2.88,2.28,0,1,0,San Diego State,Fresno State
Metro Atlantic Athletic Conference,2015-2016,11,167,188,0.470,-4.51,-3.46,0,1,0,Monmouth,Iona
Ohio Valley Conference,2015-2016,12,184,198,0.482,-5.41,-3.40,0,1,0,Belmont (East) Murray State (West) Tennessee-Martin (West),Austin Peay
Sun Belt Conference,2015-2016,11,181,175,0.508,-2.91,-2.34,0,1,0,Little Rock,Little Rock
Ivy League,2015-2016,8,123,113,0.521,-1.33,-1.85,0,1,0,Yale,
Horizon League,2015-2016,10,168,163,0.508,-2.26,-0.91,0,1,0,Valparaiso,Green Bay
Missouri Valley Conference,2015-2016,10,169,159,0.515,2.02,2.01,0,2,0,Wichita State,Northern Iowa
Big South Conference,2015-2016,11,175,176,0.499,-6.54,-4.36,0,1,0,High Point Winthrop,UNC Asheville
Southwest Athletic Conference,2015-2016,10,130,194,0.401,-13.98,-8.48,0,1,0,Texas Southern,Southern
Southland Conference,2015-2016,13,186,221,0.457,-10.68,-6.56,0,1,0,Stephen F. Austin,Stephen F. Austin
Patriot League,2015-2016,10,146,173,0.458,-8.55,-6.21,0,1,0,Bucknell,Holy Cross
Mid-Eastern Athletic Conference,2015-2016,13,165,250,0.398,-14.26,-8.14,0,1,0,Hampton,Hampton
Northeast Conference,2015-2016,10,133,182,0.422,-12.87,-8.79,0,1,0,Wagner,FDUConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2016-2017,10,215,131,0.621,17.44,11.26,1,6,0,Kansas,Iowa State
Pac-12 Conference,2016-2017,12,238,168,0.586,9.33,6.73,1,4,1,Arizona Oregon,Arizona
Big East Conference,2016-2017,10,203,135,0.601,13.19,9.11,1,7,0,Villanova,Villanova
Southeastern Conference,2016-2017,14,274,202,0.576,11.72,8.82,0,5,1,Kentucky,Kentucky
Big Ten Conference,2016-2017,14,288,192,0.600,12.64,8.75,0,7,0,Purdue,Michigan
American Athletic Conference,2016-2017,11,199,163,0.550,6.20,4.11,0,2,0,Southern Methodist,Southern Methodist
West Coast Conference,2016-2017,10,184,147,0.556,3.01,1.94,0,2,1,Gonzaga,Gonzaga
Atlantic 10 Conference,2016-2017,14,250,211,0.542,3.80,2.66,0,3,0,Dayton,Rhode Island
Colonial Athletic Association,2016-2017,10,171,156,0.523,-1.22,-1.27,0,1,0,UNC Wilmington,UNC Wilmington
Mid-American Conference,2016-2017,12,211,185,0.533,-1.26,-1.67,0,1,0,Akron (East) Ball State (West) Western Michigan (West),Kent State
Western Athletic Conference,2016-2017,8,139,124,0.529,-4.37,-2.66,0,1,0,Cal State Bakersfield,New Mexico State
Atlantic Sun Conference,2016-2017,8,131,131,0.500,-7.21,-4.85,0,1,0,Florida Gulf Coast,Florida Gulf Coast
Atlantic Coast Conference,2016-2017,15,320,196,0.620,14.66,9.67,0,9,1,North Carolina,Duke
Southern Conference,2016-2017,10,172,160,0.518,-3.60,-2.17,0,1,0,East Tennessee State Furman UNC Greensboro,East Tennessee State
America East Conference,2016-2017,9,148,147,0.502,-6.66,-5.01,0,1,0,Vermont,Vermont
Conference USA,2016-2017,14,224,228,0.496,-3.26,-2.42,0,1,0,Middle Tennessee,Middle Tennessee
Big Sky Conference,2016-2017,12,174,210,0.453,-7.72,-5.16,0,1,0,North Dakota,North Dakota
Metro Atlantic Athletic Conference,2016-2017,11,179,186,0.490,-4.32,-3.32,0,1,0,Monmouth,Iona
Missouri Valley Conference,2016-2017,10,172,155,0.526,3.48,2.62,0,1,0,Illinois State Wichita State,Wichita State
Summit League,2016-2017,9,143,141,0.504,-3.30,-1.85,0,1,0,South Dakota,South Dakota State
Mountain West Conference,2016-2017,11,202,162,0.555,2.95,1.92,0,1,0,Nevada,Nevada
Horizon League,2016-2017,10,169,164,0.508,-3.63,-2.42,0,1,0,Oakland Valparaiso,Northern Kentucky
Ivy League,2016-2017,8,111,117,0.487,-3.17,-2.50,0,1,0,Princeton,Princeton
Sun Belt Conference,2016-2017,12,217,189,0.534,-2.80,-2.60,0,1,0,UT Arlington,Troy
Big South Conference,2016-2017,10,160,165,0.492,-9.36,-6.04,0,1,0,UNC Asheville Winthrop,Winthrop
Northeast Conference,2016-2017,10,133,186,0.417,-10.26,-6.52,0,1,0,Mount St. Mary's,Mount St. Mary's
Patriot League,2016-2017,10,151,169,0.472,-5.00,-3.52,0,1,0,Bucknell,Bucknell
Big West Conference,2016-2017,9,126,160,0.441,-7.63,-3.78,0,1,0,UC Irvine,UC Davis
Ohio Valley Conference,2016-2017,12,182,196,0.481,-5.19,-3.34,0,1,0,Belmont (East) Tennessee-Martin (West),Jacksonville State
Southland Conference,2016-2017,13,202,209,0.491,-9.35,-5.82,0,1,0,New Orleans,New Orleans
Mid-Eastern Athletic Conference,2016-2017,13,156,259,0.376,-16.34,-9.42,0,1,0,North Carolina Central,North Carolina Central
Southwest Athletic Conference,2016-2017,10,123,199,0.382,-17.06,-10.16,0,1,0,Texas Southern,Texas SouthernConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big East Conference,2017-2018,10,213,128,0.625,14.22,9.28,0,6,1,Xavier,Villanova
Pac-12 Conference,2017-2018,12,231,172,0.573,8.61,6.15,1,3,0,Arizona,Arizona
Big 12 Conference,2017-2018,10,220,130,0.629,15.16,9.83,0,7,1,Kansas,Kansas
Southeastern Conference,2017-2018,14,286,193,0.597,13.00,9.34,0,8,0,Auburn Tennessee,Kentucky
Atlantic 10 Conference,2017-2018,14,232,224,0.509,2.26,1.99,0,3,0,Rhode Island,Davidson
Atlantic Coast Conference,2017-2018,15,315,200,0.612,13.38,8.51,0,9,0,Virginia,Virginia
Big Ten Conference,2017-2018,14,289,189,0.605,13.01,7.99,0,4,1,Michigan State,Michigan
West Coast Conference,2017-2018,10,180,159,0.531,1.83,1.43,0,1,0,Gonzaga,Gonzaga
Conference USA,2017-2018,14,245,221,0.526,0.22,0.20,0,1,0,Middle Tennessee,Marshall
American Athletic Conference,2017-2018,12,224,168,0.571,5.58,3.41,0,3,0,Cincinnati,Cincinnati
Missouri Valley Conference,2017-2018,10,186,145,0.562,2.43,1.61,0,1,1,Loyola (IL),Loyola (IL)
Atlantic Sun Conference,2017-2018,8,118,140,0.457,-9.15,-4.72,0,1,0,Florida Gulf Coast,Lipscomb
Colonial Athletic Association,2017-2018,10,167,156,0.517,-3.06,-2.14,0,1,0,College of Charleston Northeastern,College of Charleston
Metro Atlantic Athletic Conference,2017-2018,11,164,191,0.462,-4.80,-3.48,0,1,0,Canisius Rider,Iona
America East Conference,2017-2018,9,145,147,0.497,-5.62,-4.40,0,1,0,Vermont,Maryland-Baltimore County
Big Sky Conference,2017-2018,12,198,195,0.504,-3.55,-2.00,0,1,0,Montana,Montana
Ohio Valley Conference,2017-2018,12,190,191,0.499,-5.25,-3.54,0,1,0,Murray State,Murray State
Mountain West Conference,2017-2018,11,198,163,0.548,4.43,3.05,0,2,0,Nevada,San Diego State
Sun Belt Conference,2017-2018,12,201,194,0.509,-2.96,-2.68,0,1,0,Louisiana,Georgia State
Summit League,2017-2018,8,134,122,0.523,-2.89,-1.41,0,1,0,South Dakota State,South Dakota State
Big South Conference,2017-2018,10,164,166,0.497,-7.38,-5.26,0,1,0,UNC Asheville,Radford
Western Athletic Conference,2017-2018,8,133,130,0.506,-3.81,-1.77,0,1,0,New Mexico State,New Mexico State
Mid-American Conference,2017-2018,12,219,181,0.548,-2.01,-1.88,0,1,0,Buffalo (East) Toledo (West),Buffalo
Ivy League,2017-2018,8,109,125,0.466,-4.65,-3.07,0,1,0,Harvard Pennsylvania,Pennsylvania
Southland Conference,2017-2018,13,201,215,0.483,-9.29,-5.77,0,1,0,Nicholls State Southeastern Louisiana,Stephen F. Austin
Horizon League,2017-2018,10,154,177,0.465,-5.88,-3.58,0,1,0,Northern Kentucky,Wright State
Southern Conference,2017-2018,10,168,161,0.511,-5.23,-3.38,0,1,0,UNC Greensboro,UNC Greensboro
Big West Conference,2017-2018,9,139,148,0.484,-4.20,-1.68,0,1,0,UC Davis,Cal State Fullerton
Mid-Eastern Athletic Conference,2017-2018,13,162,265,0.379,-16.74,-9.52,0,1,0,Bethune-Cookman Hampton Savannah State,North Carolina Central
Patriot League,2017-2018,10,145,169,0.462,-7.77,-5.83,0,1,0,Bucknell,Bucknell
Northeast Conference,2017-2018,10,146,174,0.456,-9.84,-6.89,0,1,0,Wagner,Long Island University
Southwest Athletic Conference,2017-2018,10,116,211,0.355,-15.97,-8.63,0,1,0,Grambling,Texas SouthernConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2018-2019,10,216,137,0.612,14.82,10.54,0,6,1,Kansas State Texas Tech,Iowa State
American Athletic Conference,2018-2019,12,239,169,0.586,7.03,4.21,0,4,0,Houston,Cincinnati
Southeastern Conference,2018-2019,14,283,197,0.590,12.73,9.29,0,7,1,Louisiana State,Auburn
Big East Conference,2018-2019,10,202,142,0.587,9.92,6.96,0,4,0,Villanova,Villanova
Big Ten Conference,2018-2019,14,290,195,0.598,15.12,10.82,0,8,1,Michigan State Purdue,Michigan State
Pac-12 Conference,2018-2019,12,217,181,0.545,7.07,5.25,0,3,0,Washington,Oregon
Atlantic 10 Conference,2018-2019,14,235,227,0.509,1.47,0.83,0,2,0,Virginia Commonwealth,Saint Louis
West Coast Conference,2018-2019,10,191,142,0.574,4.99,2.24,0,2,0,Gonzaga,Saint Mary's (CA)
Atlantic Coast Conference,2018-2019,15,316,198,0.615,14.17,9.06,0,7,1,North Carolina Virginia,Duke
Mid-American Conference,2018-2019,12,226,172,0.568,3.00,1.60,0,1,0,Buffalo (East) Toledo (West),Buffalo
Colonial Athletic Association,2018-2019,10,163,165,0.497,-4.53,-3.12,0,1,0,Hofstra,Northeastern
Ohio Valley Conference,2018-2019,12,190,192,0.497,-5.82,-3.73,0,2,0,Belmont Murray State,Murray State
Conference USA,2018-2019,14,244,217,0.529,-1.76,-1.10,0,1,0,Old Dominion,Old Dominion
Missouri Valley Conference,2018-2019,10,171,159,0.518,-0.69,-0.23,0,1,0,Drake Loyola (IL),Bradley
Ivy League,2018-2019,8,132,109,0.548,-1.46,-1.58,0,1,0,Harvard Yale,Yale
Southland Conference,2018-2019,13,198,217,0.477,-10.05,-6.10,0,1,0,Sam Houston,Abilene Christian
Big South Conference,2018-2019,11,181,183,0.497,-6.03,-4.25,0,1,0,Campbell Radford,Gardner-Webb
Sun Belt Conference,2018-2019,12,204,190,0.518,-1.74,-1.14,0,1,0,Georgia State,Georgia State
Patriot League,2018-2019,10,157,163,0.491,-5.57,-4.61,0,1,0,Bucknell Colgate,Colgate
Mountain West Conference,2018-2019,11,183,175,0.511,1.49,1.12,0,2,0,Nevada Utah State,Utah State
Atlantic Sun Conference,2018-2019,9,145,155,0.483,-5.36,-2.55,0,1,0,Liberty Lipscomb,Liberty
Western Athletic Conference,2018-2019,9,161,142,0.531,-3.01,-2.14,0,1,0,New Mexico State,New Mexico State
Big Sky Conference,2018-2019,11,170,186,0.478,-8.25,-5.81,0,1,0,Montana,Montana
Southern Conference,2018-2019,10,178,150,0.543,-0.71,-0.60,0,1,0,Wofford,Wofford
Horizon League,2018-2019,10,158,173,0.477,-3.34,-1.66,0,1,0,Northern Kentucky Wright State,Northern Kentucky
Metro Atlantic Athletic Conference,2018-2019,11,150,203,0.425,-9.08,-6.58,0,1,0,Iona,Iona
America East Conference,2018-2019,9,137,155,0.469,-8.04,-5.55,0,1,0,Vermont,Vermont
Summit League,2018-2019,9,136,150,0.476,-5.49,-3.38,0,1,0,South Dakota State,North Dakota State
Mid-Eastern Athletic Conference,2018-2019,12,151,238,0.388,-16.00,-9.20,0,1,0,Norfolk State,North Carolina Central
Big West Conference,2018-2019,9,142,153,0.481,-4.77,-2.74,0,1,0,UC Irvine,UC Irvine
Northeast Conference,2018-2019,10,148,174,0.460,-10.81,-7.47,0,1,0,FDU Saint Francis (PA),FDU
Southwest Athletic Conference,2018-2019,10,129,200,0.392,-14.78,-8.26,0,1,0,Prairie View,Prairie ViewConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big 12 Conference,2020-2021,10,165,116,0.587,11.74,8.94,1,7,1,Baylor,Texas
Big Ten Conference,2020-2021,14,227,172,0.569,14.91,11.89,1,9,0,Michigan,Illinois
Southeastern Conference,2020-2021,14,212,163,0.565,11.18,8.48,1,6,0,Alabama,Alabama
West Coast Conference,2020-2021,10,134,96,0.583,5.24,5.06,1,2,1,Gonzaga,Gonzaga
Pac-12 Conference,2020-2021,12,193,150,0.563,11.89,9.86,0,5,1,Oregon,Oregon State
Atlantic 10 Conference,2020-2021,14,151,142,0.515,3.54,3.10,0,2,0,St. Bonaventure,St. Bonaventure
Southland Conference,2020-2021,13,150,180,0.455,-10.87,-7.02,0,1,0,Nicholls State,Abilene Christian
American Athletic Conference,2020-2021,11,141,107,0.569,6.77,5.54,0,2,1,Wichita State,Houston
Conference USA,2020-2021,14,201,162,0.554,-0.76,-1.35,0,1,0,Western Kentucky (East) Louisiana Tech (West),North Texas
Big East Conference,2020-2021,11,152,125,0.549,10.56,8.73,0,4,0,Villanova,Georgetown
Big Sky Conference,2020-2021,11,129,125,0.508,-5.63,-3.91,0,1,0,Southern Utah,Eastern Washington
Mid-American Conference,2020-2021,12,141,138,0.505,-3.22,-1.97,0,1,0,Toledo,Ohio
Atlantic Coast Conference,2020-2021,15,201,164,0.551,10.17,8.22,0,7,0,Virginia,Georgia Tech
Missouri Valley Conference,2020-2021,10,144,124,0.537,1.22,0.86,0,2,0,Loyola (IL),Loyola (IL)
Northeast Conference,2020-2021,10,96,109,0.468,-8.72,-7.37,0,1,0,Wagner,Mount St. Mary's
Southern Conference,2020-2021,10,144,111,0.565,-1.02,-1.42,0,1,0,UNC Greensboro,UNC Greensboro
Atlantic Sun Conference,2020-2021,9,111,107,0.509,-7.61,-5.59,0,1,0,Liberty,Liberty
America East Conference,2020-2021,10,89,97,0.478,-6.51,-5.38,0,1,0,Maryland-Baltimore County Vermont,Hartford
Colonial Athletic Association,2020-2021,10,92,95,0.492,-4.83,-3.54,0,1,0,James Madison Northeastern,Drexel
Horizon League,2020-2021,12,137,147,0.482,-7.89,-6.45,0,1,0,Cleveland State Wright State,Cleveland State
Western Athletic Conference,2020-2021,9,92,89,0.508,-8.08,-3.22,0,1,0,Grand Canyon Utah Valley,Grand Canyon
Sun Belt Conference,2020-2021,12,169,143,0.542,-6.62,-5.73,0,1,0,Georgia State (East) Texas State (West),Appalachian State
Patriot League,2020-2021,10,81,78,0.509,-2.86,-2.51,0,1,0,Lafayette (Central) Colgate (North) Navy (South),Colgate
Ohio Valley Conference,2020-2021,12,162,162,0.500,-8.18,-6.79,0,1,0,Belmont,Morehead State
Big South Conference,2020-2021,11,123,146,0.457,-8.72,-7.14,0,1,0,Winthrop,Winthrop
Metro Atlantic Athletic Conference,2020-2021,11,110,116,0.487,-7.88,-7.43,0,1,0,Monmouth Siena,Iona
Mid-Eastern Athletic Conference,2020-2021,9,69,97,0.416,-14.55,-7.62,0,1,0,Coppin State (Northern) Norfolk State (Northern) North Carolina A&T (Southern),Norfolk State
Mountain West Conference,2020-2021,11,152,131,0.537,-0.05,0.68,0,2,0,San Diego State,San Diego State
Big West Conference,2020-2021,11,122,116,0.513,-3.43,-2.10,0,1,0,UC Santa Barbara,UC Santa Barbara
Summit League,2020-2021,9,97,125,0.437,-5.98,-2.98,0,1,0,South Dakota State,Oral Roberts
Southwest Athletic Conference,2020-2021,10,87,122,0.416,-17.68,-12.11,0,1,0,Prairie View,Texas SouthernConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2021-2022,12,222,178,0.555,9.49,7.35,1,3,0,Arizona,Arizona
Big 12 Conference,2021-2022,10,217,126,0.633,15.54,9.75,1,6,1,Baylor Kansas,Kansas
Big Ten Conference,2021-2022,14,271,193,0.584,11.92,8.60,1,9,0,Illinois Wisconsin,Iowa
Southeastern Conference,2021-2022,14,283,196,0.591,12.34,8.45,0,6,0,Auburn,Tennessee
Conference USA,2021-2022,14,250,214,0.539,-0.35,-0.62,0,1,0,Middle Tennessee (East) North Texas (West),UAB
Atlantic 10 Conference,2021-2022,14,243,208,0.539,3.46,2.30,0,2,0,Davidson,Richmond
West Coast Conference,2021-2022,10,183,141,0.565,5.14,3.26,0,3,0,Gonzaga,Gonzaga
American Athletic Conference,2021-2022,11,194,151,0.562,7.32,4.95,0,2,0,Houston,Houston
Southern Conference,2021-2022,10,177,148,0.545,-1.71,-1.51,0,1,0,Chattanooga,Chattanooga
Missouri Valley Conference,2021-2022,10,170,153,0.526,2.66,1.53,0,1,0,Northern Iowa,Loyola (IL)
Big East Conference,2021-2022,11,218,148,0.596,11.22,8.16,0,6,1,Providence,Villanova
Atlantic Coast Conference,2021-2022,15,290,224,0.564,9.04,6.78,0,5,2,Duke,Virginia Tech
Western Athletic Conference,2021-2022,13,221,197,0.529,-2.58,-1.70,0,1,0,New Mexico State Seattle Stephen F. Austin,New Mexico State
Mid-American Conference,2021-2022,12,192,191,0.501,-5.01,-3.39,0,1,0,Toledo,Akron
Colonial Athletic Association,2021-2022,10,166,156,0.516,-2.20,-1.33,0,1,0,Towson UNC Wilmington,Delaware
Sun Belt Conference,2021-2022,12,198,169,0.540,-3.69,-2.41,0,1,0,Texas State,Georgia State
Horizon League,2021-2022,12,176,205,0.462,-8.22,-5.83,0,1,0,Cleveland State Purdue Fort Wayne,Wright State
Ivy League,2021-2022,8,108,113,0.489,-4.30,-2.82,0,1,0,Princeton,Yale
Atlantic Sun Conference,2021-2022,12,188,192,0.495,-5.90,-3.28,0,1,0,Liberty (East) Jacksonville State (West),Bellarmine
Northeast Conference,2021-2022,10,128,169,0.431,-10.96,-7.54,0,1,0,Bryant,Bryant
Big South Conference,2021-2022,12,179,194,0.480,-7.32,-4.58,0,1,0,Longwood (North) Winthrop (South),Longwood
Big Sky Conference,2021-2022,11,179,181,0.497,-7.38,-5.05,0,1,0,Montana State,Montana State
Mountain West Conference,2021-2022,11,204,153,0.571,5.83,4.18,0,4,0,Boise State,Boise State
Metro Atlantic Athletic Conference,2021-2022,11,180,169,0.516,-3.28,-2.96,0,1,0,Iona,Saint Peter's
America East Conference,2021-2022,10,148,158,0.484,-8.15,-6.26,0,1,0,Vermont,Vermont
Ohio Valley Conference,2021-2022,10,154,165,0.483,-5.92,-3.92,0,1,0,Murray State,Murray State
Summit League,2021-2022,10,158,158,0.500,-6.69,-4.83,0,1,0,South Dakota State,South Dakota State
Big West Conference,2021-2022,11,155,158,0.495,-3.65,-2.45,0,1,0,Long Beach State,Cal State Fullerton
Mid-Eastern Athletic Conference,2021-2022,8,106,131,0.447,-12.03,-7.67,0,1,0,Norfolk State,Norfolk State
Southwest Athletic Conference,2021-2022,12,137,229,0.374,-12.03,-5.86,0,1,0,Alcorn State,Texas Southern
Southland Conference,2021-2022,8,119,141,0.458,-10.58,-5.90,0,1,0,Nicholls State,Texas A&M-Corpus Christi
Patriot League,2021-2022,10,146,174,0.456,-9.62,-7.19,0,1,0,Colgate,ColgateConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Southeastern Conference,2022-2023,14,283,198,0.588,11.01,7.66,1,8,0,Alabama,Alabama
Pac-12 Conference,2022-2023,12,221,186,0.543,10.46,8.01,1,4,0,UCLA,Arizona
Big 12 Conference,2022-2023,10,217,129,0.627,15.63,10.20,1,7,0,Kansas,Texas
Big Ten Conference,2022-2023,14,277,200,0.581,12.53,8.75,0,8,0,Purdue,Purdue
American Athletic Conference,2022-2023,11,199,165,0.547,6.23,4.11,0,2,0,Houston,Memphis
Conference USA,2022-2023,11,225,157,0.589,2.60,1.44,0,1,1,Florida Atlantic,Florida Atlantic
West Coast Conference,2022-2023,10,188,144,0.566,6.43,4.78,0,2,0,Gonzaga Saint Mary's (CA),Gonzaga
Colonial Athletic Association,2022-2023,13,205,222,0.480,-6.49,-3.94,0,1,0,College of Charleston Hofstra,College of Charleston
Big East Conference,2022-2023,11,215,164,0.567,11.33,8.25,0,5,1,Marquette,Marquette
Mid-American Conference,2022-2023,12,193,195,0.497,-3.47,-2.22,0,1,0,Toledo,Kent State
Mountain West Conference,2022-2023,11,215,154,0.583,8.03,5.68,0,4,1,San Diego State,San Diego State
Atlantic 10 Conference,2022-2023,15,261,229,0.533,1.27,0.37,0,1,0,,Virginia Commonwealth
Missouri Valley Conference,2022-2023,12,206,189,0.522,-2.05,-2.03,0,1,0,Bradley,Drake
Big Sky Conference,2022-2023,10,154,173,0.471,-3.40,-1.61,0,1,0,Eastern Washington,Montana State
Atlantic Coast Conference,2022-2023,15,281,223,0.558,7.47,5.63,0,5,1,Miami (FL) Virginia,Duke
Sun Belt Conference,2022-2023,14,249,209,0.544,-1.09,-1.42,0,1,0,Southern Mississippi,Louisiana
Southern Conference,2022-2023,10,165,166,0.498,-4.60,-3.65,0,1,0,Furman Samford,Furman
Ivy League,2022-2023,8,123,109,0.530,-1.44,-1.96,0,1,0,Princeton Yale,Princeton
Horizon League,2022-2023,11,175,190,0.479,-6.42,-4.49,0,1,0,Youngstown State,Northern Kentucky
Western Athletic Conference,2022-2023,13,237,189,0.556,0.66,0.96,0,1,0,Utah Valley,Grand Canyon
Big South Conference,2022-2023,10,159,167,0.488,-6.14,-4.62,0,1,0,UNC Asheville,UNC Asheville
Metro Atlantic Athletic Conference,2022-2023,11,171,178,0.490,-5.36,-4.56,0,1,0,Iona,Iona
Big West Conference,2022-2023,11,185,178,0.510,-1.98,-1.10,0,1,0,UC Irvine UC Santa Barbara,UC Santa Barbara
Patriot League,2022-2023,10,155,169,0.478,-7.72,-6.39,0,1,0,Colgate,Colgate
Summit League,2022-2023,10,160,163,0.495,-5.61,-3.38,0,1,0,Oral Roberts,Oral Roberts
Southwest Athletic Conference,2022-2023,12,155,230,0.403,-12.13,-6.21,0,1,0,Alcorn State Grambling,Texas Southern
Independent,2022-2023,2,16,43,0.271,-17.21,-5.74,0,0,0,,
Atlantic Sun Conference,2022-2023,14,239,217,0.524,-4.69,-2.74,0,1,0,Kennesaw State Liberty,Kennesaw State
Ohio Valley Conference,2022-2023,10,159,169,0.485,-9.84,-6.98,0,1,0,Morehead State,Southeast Missouri State
Northeast Conference,2022-2023,9,124,161,0.435,-13.96,-9.54,0,1,0,Merrimack,Merrimack
America East Conference,2022-2023,9,140,142,0.496,-6.98,-5.46,0,1,0,Vermont,Vermont
Mid-Eastern Athletic Conference,2022-2023,8,115,138,0.455,-10.01,-5.26,0,1,0,Howard,Howard
Southland Conference,2022-2023,10,147,177,0.454,-11.24,-6.95,0,1,0,Texas A&M-Corpus Christi,Texas A&M-Corpus ChristiConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pac-12 Conference,2023-2024,12,226,181,0.555,10.88,8.54,1,4,0,Arizona,Oregon
Southeastern Conference,2023-2024,14,284,197,0.590,12.15,8.38,1,8,1,Tennessee,Auburn
Big Ten Conference,2023-2024,14,284,199,0.588,12.98,9.15,1,6,1,Purdue,Illinois
Big 12 Conference,2023-2024,14,295,184,0.616,15.09,9.12,1,8,0,Houston,Iowa State
West Coast Conference,2023-2024,9,157,141,0.527,1.80,1.35,1,2,0,Saint Mary's (CA),Saint Mary's (CA)
Big East Conference,2023-2024,11,219,163,0.573,12.82,9.58,0,3,1,Connecticut,Connecticut
Atlantic Coast Conference,2023-2024,15,298,218,0.578,11.35,8.31,0,5,1,North Carolina,NC State
Sun Belt Conference,2023-2024,14,230,231,0.499,-3.41,-2.42,0,1,0,Appalachian State,James Madison
American Athletic Conference,2023-2024,14,251,210,0.544,3.68,2.28,0,2,0,South Florida,UAB
Atlantic 10 Conference,2023-2024,15,285,215,0.570,4.52,2.55,0,2,0,Loyola (IL) Richmond,Duquesne
Missouri Valley Conference,2023-2024,12,221,183,0.547,2.59,1.51,0,1,0,Indiana State,Drake
Mid-American Conference,2023-2024,12,189,199,0.487,-5.68,-3.62,0,1,0,Toledo,Akron
Southern Conference,2023-2024,10,177,152,0.538,-3.08,-2.75,0,1,0,Samford,Samford
Big Sky Conference,2023-2024,10,167,166,0.502,-6.17,-4.36,0,1,0,Eastern Washington,Montana State
Ohio Valley Conference,2023-2024,11,174,183,0.487,-10.29,-6.88,0,1,0,Little Rock Morehead State Tennessee-Martin,Morehead State
Horizon League,2023-2024,11,181,187,0.492,-5.78,-4.03,0,1,0,Oakland,Oakland
Ivy League,2023-2024,8,126,107,0.541,-2.02,-1.42,0,1,0,Princeton,Yale
Western Athletic Conference,2023-2024,11,191,175,0.522,-1.60,-0.99,0,1,0,Grand Canyon,Grand Canyon
Mountain West Conference,2023-2024,11,219,154,0.587,7.08,5.21,0,6,0,Utah State,New Mexico
Atlantic Sun Conference,2023-2024,12,185,204,0.476,-7.76,-4.48,0,1,0,Eastern Kentucky,Stetson
America East Conference,2023-2024,9,147,138,0.516,-5.92,-4.69,0,1,0,Vermont,Vermont
Summit League,2023-2024,9,147,147,0.500,-6.03,-4.45,0,1,0,South Dakota State,South Dakota State
Metro Atlantic Athletic Conference,2023-2024,11,170,188,0.475,-7.71,-6.10,0,1,0,Quinnipiac,Saint Peter's
Conference USA,2023-2024,9,153,142,0.519,-2.43,-1.58,0,1,0,Sam Houston,Western Kentucky
Northeast Conference,2023-2024,9,123,160,0.435,-12.89,-8.58,0,1,0,Central Connecticut State Merrimack,Wagner
